-0.005	0.128
-0.004996	0.12
-0.004992	0.112
-0.004988	0.12
-0.004984	0.128
-0.00498	0.12
-0.004976	0.112
-0.004972	0.112
-0.004968	0.12
-0.004964	0.128
-0.00496	0.12
-0.004956	0.104
-0.004952	0.12
-0.004948	0.112
-0.004944	0.104
-0.00494	0.12
-0.004936	0.112
-0.004932	0.112
-0.004928	0.12
-0.004924	0.12
-0.00492	0.12
-0.004916	0.104
-0.004912	0.104
-0.004908	0.112
-0.004904	0.112
-0.0049	0.112
-0.004896	0.112
-0.004892	0.112
-0.004888	0.104
-0.004884	0.096
-0.00488	0.088
-0.004876	0.088
-0.004872	0.104
-0.004868	0.096
-0.004864	0.096
-0.00486	0.088
-0.004856	0.096
-0.004852	0.08
-0.004848	0.104
-0.004844	0.096
-0.00484	0.096
-0.004836	0.096
-0.004832	0.096
-0.004828	0.088
-0.004824	0.088
-0.00482	0.088
-0.004816	0.088
-0.004812	0.088
-0.004808	0.088
-0.004804	0.072
-0.0048	0.08
-0.004796	0.072
-0.004792	0.064
-0.004788	0.08
-0.004784	0.088
-0.00478	0.072
-0.004776	0.072
-0.004772	0.08
-0.004768	0.088
-0.004764	0.064
-0.00476	0.064
-0.004756	0.064
-0.004752	0.056
-0.004748	0.056
-0.004744	0.064
-0.00474	0.064
-0.004736	0.064
-0.004732	0.064
-0.004728	0.064
-0.004724	0.056
-0.00472	0.04
-0.004716	0.048
-0.004712	0.056
-0.004708	0.056
-0.004704	0.064
-0.0047	0.056
-0.004696	0.048
-0.004692	0.032
-0.004688	0.048
-0.004684	0.032
-0.00468	0.04
-0.004676	0.04
-0.004672	0.04
-0.004668	0.048
-0.004664	0.048
-0.00466	0.032
-0.004656	0.04
-0.004652	0.04
-0.004648	0.032
-0.004644	0.032
-0.00464	0.032
-0.004636	0.024
-0.004632	0.016
-0.004628	0.032
-0.004624	0.024
-0.00462	0.024
-0.004616	0.016
-0.004612	0.016
-0.004608	0.016
-0.004604	0.016
-0.0046	0.016
-0.004596	0
-0.004592	0.008
-0.004588	0.016
-0.004584	0.008
-0.00458	0.008
-0.004576	0
-0.004572	0.016
-0.004568	0.008
-0.004564	0.008
-0.00456	-0.008
-0.004556	-0.008
-0.004552	0.008
-0.004548	0.008
-0.004544	-0.008
-0.00454	-0.008
-0.004536	-0.008
-0.004532	-0.008
-0.004528	-0.008
-0.004524	-0.016
-0.00452	-0.016
-0.004516	-0.008
-0.004512	-0.016
-0.004508	-0.016
-0.004504	-0.016
-0.0045	-0.024
-0.004496	-0.024
-0.004492	-0.016
-0.004488	-0.024
-0.004484	-0.016
-0.00448	-0.024
-0.004476	-0.024
-0.004472	-0.032
-0.004468	-0.04
-0.004464	-0.032
-0.00446	-0.024
-0.004456	-0.04
-0.004452	-0.048
-0.004448	-0.032
-0.004444	-0.048
-0.00444	-0.048
-0.004436	-0.04
-0.004432	-0.048
-0.004428	-0.04
-0.004424	-0.048
-0.00442	-0.048
-0.004416	-0.048
-0.004412	-0.056
-0.004408	-0.048
-0.004404	-0.056
-0.0044	-0.048
-0.004396	-0.064
-0.004392	-0.056
-0.004388	-0.064
-0.004384	-0.056
-0.00438	-0.056
-0.004376	-0.064
-0.004372	-0.064
-0.004368	-0.064
-0.004364	-0.064
-0.00436	-0.064
-0.004356	-0.064
-0.004352	-0.072
-0.004348	-0.072
-0.004344	-0.088
-0.00434	-0.064
-0.004336	-0.08
